"school_id","firstname","lastname","email","class_id","name","total_students"
2531,Link,Academy,linkschool@gmail.com,1700,Test Classroom (LA),1
2531,Link,Academy,linkschool@gmail.com,1717,link,1
2531,Link,Academy,linkschool@gmail.com,1750,English Advantage - Starter Book 1,1
2531,Link,Academy,linkschool@gmail.com,1751,English Advantage - Novice Book 2,1
2531,Link,Academy,linkschool@gmail.com,1752,English Advantage - Novice Book 3,1
2531,Link,Academy,linkschool@gmail.com,1753,English Advantage - Intermediate Book 4,1
2531,Link,Academy,linkschool@gmail.com,1754,English Advantage - Intermediate Book 5,1
2531,Link,Academy,linkschool@gmail.com,1755,English Advantage - Intermediate Book 6,1
2531,Link,Academy,linkschool@gmail.com,1756,English Advantage - Pre-Advanced Book 7,1
2531,Link,Academy,linkschool@gmail.com,1757,English Advantage - Pre-Advanced Book 8,1
2531,Link,Academy,linkschool@gmail.com,1758,English Advantage - Pre-Advanced Book 9,1
2531,Link,Academy,linkschool@gmail.com,1759,English Advantage - Pre-Advanced Book 10,1
2531,Link,Academy,linkschool@gmail.com,1760,English Advantage - Foundations,1
2531,Link,Academy,linkschool@gmail.com,1761,Business Edge - Book 1 (A1),1
2531,Link,Academy,linkschool@gmail.com,1762,Business Edge - Book 2 (A2),1
2531,Link,Academy,linkschool@gmail.com,1763,Business Edge - Book 3 (A2),1
2531,Link,Academy,linkschool@gmail.com,1764,Business Edge - Book 4 (B1),1
2531,Link,Academy,linkschool@gmail.com,1765,Business Edge - Book 5 (B1),1
2531,Link,Academy,linkschool@gmail.com,1766,Business Edge - Book 6 (B1),1
2531,Link,Academy,linkschool@gmail.com,1767,Business Edge - Foundations,1
2531,Link,Academy,linkschool@gmail.com,1770,English Advantage - Foundations Demo,1
2531,Link,Academy,linkschool@gmail.com,1786,Link Demo,1
4211,マーサ21校,school,la000176@globalenglishcampus.com,2996,English Advantage - Intermediate Book 4,3
4211,マーサ21校,school,la000176@globalenglishcampus.com,2993,English Advantage - Book 1,5
4211,マーサ21校,school,la000176@globalenglishcampus.com,2994,English Advantage - Novice Book 2,5
4211,マーサ21校,school,la000176@globalenglishcampus.com,2995,English Advantage - Novice Book 3,4
4215,津田沼校,school,la000184@globalenglishcampus.com,3034,English Advantage - Intermediate Book 6,1
4215,津田沼校,school,la000184@globalenglishcampus.com,3039,English Advantage - Foundations,1
4215,津田沼校,school,la000184@globalenglishcampus.com,3030,English Advantage - Novice Book 2,3
4215,津田沼校,school,la000184@globalenglishcampus.com,3029,English Advantage - Book 1,3
4215,津田沼校,school,la000184@globalenglishcampus.com,3031,English Advantage - Novice Book 3,2
4215,津田沼校,school,la000184@globalenglishcampus.com,3032,English Advantage - Intermediate Book 4,2
4215,津田沼校,school,la000184@globalenglishcampus.com,3033,English Advantage - Intermediate Book 5,1
4217,金山校,school,la000001@globalenglishcampus.com,3052,English Advantage - Intermediate Book 6,2
4217,金山校,school,la000001@globalenglishcampus.com,3051,English Advantage - Intermediate Book 5,1
4217,金山校,school,la000001@globalenglishcampus.com,3057,English Advantage - Foundations,2
4217,金山校,school,la000001@globalenglishcampus.com,3047,English Advantage - Book 1,3
4217,金山校,school,la000001@globalenglishcampus.com,3048,English Advantage - Novice Book 2,5
4217,金山校,school,la000001@globalenglishcampus.com,3049,English Advantage - Novice Book 3,5
4217,金山校,school,la000001@globalenglishcampus.com,3050,English Advantage - Intermediate Book 4,5
4247,溝の口校,school,la000166@globalenglishcampus.com,3317,English Advantage - Book 1,3
4247,溝の口校,school,la000166@globalenglishcampus.com,3318,English Advantage - Novice Book 2,3
4247,溝の口校,school,la000166@globalenglishcampus.com,3319,English Advantage - Novice Book 3,3
4247,溝の口校,school,la000166@globalenglishcampus.com,3327,English Advantage - Foundations,3
4225,新宿校,school,la000183@globalenglishcampus.com,3121,English Advantage - Novice Book 3,25
4225,新宿校,school,la000183@globalenglishcampus.com,3119,English Advantage - Book 1,19
4225,新宿校,school,la000183@globalenglishcampus.com,3120,English Advantage - Novice Book 2,22
4225,新宿校,school,la000183@globalenglishcampus.com,3127,English Advantage - Pre-Advanced Book 9,10
4225,新宿校,school,la000183@globalenglishcampus.com,3128,English Advantage - Pre-Advanced Book 10,9
4221,池袋校,school,la000068@globalenglishcampus.com,3083,English Advantage - Book 1,10
4221,池袋校,school,la000068@globalenglishcampus.com,3086,English Advantage - Intermediate Book 4,10
4221,池袋校,school,la000068@globalenglishcampus.com,3084,English Advantage - Novice Book 2,12
4221,池袋校,school,la000068@globalenglishcampus.com,3085,English Advantage - Novice Book 3,12
4299,浦和パルコ校,school,la000122@globalenglishcampus.com,3791,English Advantage - Pre-Advanced Book 7,3
4299,浦和パルコ校,school,la000122@globalenglishcampus.com,3792,English Advantage - Pre-Advanced Book 8,3
4299,浦和パルコ校,school,la000122@globalenglishcampus.com,3786,English Advantage - Novice Book 2,7
4299,浦和パルコ校,school,la000122@globalenglishcampus.com,3787,English Advantage - Novice Book 3,4
4299,浦和パルコ校,school,la000122@globalenglishcampus.com,3788,English Advantage - Intermediate Book 4,4
4299,浦和パルコ校,school,la000122@globalenglishcampus.com,3789,English Advantage - Intermediate Book 5,2
4299,浦和パルコ校,school,la000122@globalenglishcampus.com,3790,English Advantage - Intermediate Book 6,2
4211,マーサ21校,school,la000176@globalenglishcampus.com,3000,English Advantage - Pre-Advanced Book 8,2
4211,マーサ21校,school,la000176@globalenglishcampus.com,2997,English Advantage - Intermediate Book 5,1
4211,マーサ21校,school,la000176@globalenglishcampus.com,2998,English Advantage - Intermediate Book 6,1
4211,マーサ21校,school,la000176@globalenglishcampus.com,2999,English Advantage - Pre-Advanced Book 7,2
4275,名古屋駅前校,school,la000003@globalenglishcampus.com,3581,Business Edge - Book 2 (A2),2
4275,名古屋駅前校,school,la000003@globalenglishcampus.com,3573,English Advantage - Intermediate Book 5,5
4275,名古屋駅前校,school,la000003@globalenglishcampus.com,3574,English Advantage - Intermediate Book 6,4
4275,名古屋駅前校,school,la000003@globalenglishcampus.com,3570,English Advantage - Novice Book 2,5
4275,名古屋駅前校,school,la000003@globalenglishcampus.com,3571,English Advantage - Novice Book 3,4
4275,名古屋駅前校,school,la000003@globalenglishcampus.com,3572,English Advantage - Intermediate Book 4,4
4275,名古屋駅前校,school,la000003@globalenglishcampus.com,3582,Business Edge - Book 3 (A2),1
3993,柏駅前校,school,la87@globalenglishcampus.com,1958,English Advantage - Book 1,1
4275,名古屋駅前校,school,la000003@globalenglishcampus.com,3569,English Advantage - Book 1,4
4271,広島大手町校,school,la000420@globalenglishcampus.com,3534,English Advantage - Novice Book 2,3
4325,静岡モディ校,school,la000301@globalenglishcampus.com,4021,English Advantage - Novice Book 3,1
4325,静岡モディ校,school,la000301@globalenglishcampus.com,4029,English Advantage - Foundations,1
4325,静岡モディ校,school,la000301@globalenglishcampus.com,4019,English Advantage - Book 1,1
4325,静岡モディ校,school,la000301@globalenglishcampus.com,4020,English Advantage - Novice Book 2,1
4283,銀座校,school,la000160@globalenglishcampus.com,3643,English Advantage - Novice Book 3,15
4283,銀座校,school,la000160@globalenglishcampus.com,3644,English Advantage - Intermediate Book 4,22
4283,銀座校,school,la000160@globalenglishcampus.com,3645,English Advantage - Intermediate Book 5,19
4283,銀座校,school,la000160@globalenglishcampus.com,3642,English Advantage - Novice Book 2,14
4283,銀座校,school,la000160@globalenglishcampus.com,3641,English Advantage - Book 1,12
4283,銀座校,school,la000160@globalenglishcampus.com,3651,English Advantage - Foundations,3
